,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,new norfolk,5.4112,100.3354,32,62,40,2.06,MY,1615870591
116,okhotsk,2.4312,103.8405,30,79,40,3.09,MY,1615870602
117,mandalgovi,-23.35,47.6,25.03,88,45,0.7,MG,1615870604
118,beinamar,39.05,-27.9833,15.3,92,2,6.01,PT,1615870605
119,nhulunbuy,4.9333,-52.3333,26.11,94,75,4.43,GF,1615870606
120,nikolskoye,-46.1333,167.6833,12.78,67,79,6.71,NZ,1615870607
121,thompson,-0.9516,122.7875,29.83,74,64,1.21,ID,1615870573
122,namatanai,-7.0349,29.7638,22.5,77,80,1.71,CD,1615870565
123,bethel,51.55,-9.2667,8,93,40,3.09,IE,1615870608
124,cockburn town,43.801,87.6005,-2,80,75,1,CN,1615870449
125,georgetown,-22.8362,-46.646,22,83,0,4.12,BR,1615870609
126,mersing,-9.1667,-60.6333,22.28,97,97,0.31,BR,1615870610
127,wa,62.2266,-6.589,7,93,75,9.77,FO,1615870611
128,sentyabrskiy,48.1667,-1.6667,9,93,90,2.06,FR,1615870612
129,vangaindrano,45.5877,5.3189,3.89,93,75,3.09,FR,1615870612
130,saint anthony,36.2333,139.1833,18.33,29,7,2.68,JP,1615870613
131,lagoa,-2.9667,-47.4833,21.66,98,100,1.12,BR,1615870614
132,cayenne,41.1702,75.8106,-4.77,88,85,0.44,KG,1615870615
133,tuatapere,-8.8368,13.2343,26,83,75,2.57,AO,1615870616
134,luwuk,9.4942,50.8122,26.69,74,90,8.05,SO,1615870616
135,port blair,51.3813,1.3862,6.11,78,93,0.45,GB,1615870617
136,skibbereen,44.2911,-105.5022,-1,93,90,2.57,US,1615870618
137,urumqi,43.6125,122.2653,4.86,13,0,6.62,CN,1615870618
138,arraial do cabo,33.7333,135.9833,18,72,75,2.57,JP,1615870619
139,aripuana,-10.4544,161.9205,25.41,85,100,1.75,SB,1615870620
140,klaksvik,-33.0117,17.9442,15,82,0,3.6,ZA,1615870621
141,rennes,-10.6167,150.6667,29.17,73,6,4.22,PG,1615870621
142,ruy barbosa,-3.2997,-60.6206,24,94,0,0.91,BR,1615870622
143,vaitupu,-2.6833,111.6167,35.48,43,78,1.71,ID,1615870502
144,honjo,64.6833,24.4833,-3.33,100,90,0.51,FI,1615870623
145,paragominas,1,-52,21.61,99,22,1.21,BR,1615870624
146,at-bashi,13.3034,-4.8956,23.04,16,0,3.37,ML,1615870625
147,luanda,43.5692,-7.2544,3.89,100,16,2.68,ES,1615870625
148,bandarbeyla,60.9167,-46.05,-1,93,90,10.8,GL,1615870435
149,margate,39.447,-86.1758,2.22,96,86,3.51,US,1615870627
150,gillette,68.75,161.3,-16.79,93,100,2.48,RU,1615870627
151,tongliao,58.6847,50.0261,-1.4,89,99,5.6,RU,1615870628
152,shingu,14.9215,-23.5087,20,77,0,5.66,CV,1615870629
153,kirakira,29.9427,-89.9634,23,88,75,3.09,US,1615870629
154,saldanha,-34.0033,24.7314,16.11,96,99,2.65,ZA,1615870424
155,samarai,38.7333,-28.2667,13.1,87,0,3.99,PT,1615870631
156,manacapuru,66,111.5,-14.65,81,100,9.18,RU,1615870425
